X,Y
234.66258411592085,115.33800720661961
268.1387280933804,145.41038297576026
301.6148720708399,175.4827587449009
335.0910160482995,205.55513451404155
124.92878280404452,69.14825888899341
158.4049267815041,99.22063465813406
191.88107075896363,129.2930104272747
225.3572147364232,159.36538619641536
258.8333587138828,189.437761965556
292.30950269134235,219.51013773469666
325.7856466688019,249.5825135038373
82.14726944708733,83.10326210964851
115.6234134245469,113.17563787878916
149.09955740200647,143.2480136479298
216.05184535692558,203.3927651862111
249.52798933438513,233.46514095535176
283.0041333118447,263.5375167244924
72.84190006758972,127.13064109944426
173.2703319999684,217.3477684068662
206.74647597742796,247.42014417600686
240.22261995488753,277.4925199451475
97.01267466555167,201.23039585838063
130.48881864301126,231.30277162752128
