ID,Latitud,Longitud,UTM_Este,UTM_Norte,Zona
1,37.790561216791296,-4.798808646265256,341614.77,4184101.57,30
2,37.790561216791296,-4.798240979549719,341664.75,4184100.61,30
3,37.790561216791296,-4.797673312834183,341714.74,4184099.65,30
4,37.790561216791296,-4.797105646118647,341764.73,4184098.69,30
5,37.790561216791296,-4.79653797940311,341814.72,4184097.73,30
6,37.790561216791296,-4.795970312687574,341864.7,4184096.77,30
7,37.79095134099357,-4.802498479916241,341290.68,4184151.12,30
8,37.79095134099357,-4.801930813200705,341340.67,4184150.16,30
9,37.79095134099357,-4.801363146485168,341390.66,4184149.2,30
10,37.79095134099357,-4.800795479769632,341440.65,4184148.23,30
11,37.79095134099357,-4.800227813054096,341490.63,4184147.27,30
12,37.79095134099357,-4.799660146338559,341540.62,4184146.31,30
13,37.79095134099357,-4.799092479623023,341590.61,4184145.34,30
14,37.79095134099357,-4.798524812907488,341640.59,4184144.38,30
15,37.79095134099357,-4.797957146191951,341690.58,4184143.42,30
16,37.79095134099357,-4.797389479476415,341740.57,4184142.46,30
17,37.79095134099357,-4.796821812760879,341790.55,4184141.5,30
18,37.79095134099357,-4.796254146045342,341840.54,4184140.54,30
19,37.79095134099357,-4.795686479329806,341890.53,4184139.58,30
20,37.79134146519584,-4.804485313420617,341116.57,4184197.79,30
21,37.79134146519584,-4.803917646705081,341166.55,4184196.82,30
22,37.79134146519584,-4.8033499799895445,341216.54,4184195.86,30
23,37.79134146519584,-4.802782313274009,341266.53,4184194.89,30
24,37.79134146519584,-4.802214646558473,341316.51,4184193.93,30
25,37.79134146519584,-4.801646979842936,341366.5,4184192.97,30
26,37.79134146519584,-4.8010793131274,341416.49,4184192.0,30
27,37.79134146519584,-4.800511646411864,341466.47,4184191.04,30
28,37.79134146519584,-4.7999439796963275,341516.46,4184190.08,30
29,37.79134146519584,-4.799376312980791,341566.45,4184189.11,30
30,37.79134146519584,-4.798808646265256,341616.43,4184188.15,30
31,37.79134146519584,-4.798240979549719,341666.42,4184187.19,30
32,37.79134146519584,-4.797673312834183,341716.41,4184186.23,30
33,37.79134146519584,-4.797105646118647,341766.39,4184185.27,30
34,37.79134146519584,-4.79653797940311,341816.38,4184184.31,30
35,37.79134146519584,-4.795970312687574,341866.37,4184183.35,30
36,37.79173158939812,-4.804201480062849,341142.39,4184240.59,30
