X,Y
19.285714285714278,6.791237260153082
49.28571428571428,6.791237260153082
79.28571428571428,6.791237260153082
109.28571428571428,6.791237260153082
139.28571428571428,6.791237260153082
169.28571428571428,6.791237260153082
199.28571428571428,6.791237260153082
229.28571428571428,6.791237260153082
4.285714285714278,32.77199937368624
34.28571428571428,32.77199937368624
64.28571428571428,32.77199937368624
94.28571428571428,32.77199937368624
124.28571428571428,32.77199937368624
154.28571428571428,32.77199937368624
184.28571428571428,32.77199937368624
214.28571428571428,32.77199937368624
244.28571428571428,32.77199937368624
19.285714285714278,58.752761487219395
49.28571428571428,58.752761487219395
79.28571428571428,58.752761487219395
109.28571428571428,58.752761487219395
139.28571428571428,58.752761487219395
169.28571428571428,58.752761487219395
199.28571428571428,58.752761487219395
229.28571428571428,58.752761487219395
4.285714285714278,84.73352360075255
34.28571428571428,84.73352360075255
64.28571428571428,84.73352360075255
94.28571428571428,84.73352360075255
124.28571428571428,84.73352360075255
154.28571428571428,84.73352360075255
184.28571428571428,84.73352360075255
214.28571428571428,84.73352360075255
244.28571428571428,84.73352360075255
19.285714285714278,110.71428571428571
49.28571428571428,110.71428571428571
79.28571428571428,110.71428571428571
109.28571428571428,110.71428571428571
139.28571428571428,110.71428571428571
169.28571428571428,110.71428571428571
199.28571428571428,110.71428571428571
229.28571428571428,110.71428571428571
4.285714285714278,136.69504782781885
34.28571428571428,136.69504782781885
64.28571428571428,136.69504782781885
94.28571428571428,136.69504782781885
124.28571428571428,136.69504782781885
154.28571428571428,136.69504782781885
184.28571428571428,136.69504782781885
214.28571428571428,136.69504782781885
244.28571428571428,136.69504782781885
109.28571428571428,162.67580994135201
139.28571428571428,162.67580994135201
169.28571428571428,162.67580994135201
199.28571428571428,162.67580994135201
229.28571428571428,162.67580994135201
124.28571428571428,188.65657205488517
154.28571428571428,188.65657205488517
184.28571428571428,188.65657205488517
214.28571428571428,188.65657205488517
244.28571428571428,188.65657205488517
109.28571428571428,214.63733416841833
139.28571428571428,214.63733416841833
169.28571428571428,214.63733416841833
199.28571428571428,214.63733416841833
229.28571428571428,214.63733416841833
124.28571428571428,240.61809628195147
154.28571428571428,240.61809628195147
184.28571428571428,240.61809628195147
214.28571428571428,240.61809628195147
244.28571428571428,240.61809628195147
